Friday,5:30 PM,354,Junior Lyrical Duo/Trio,Fighting For You,Radiant Dance Studio
Friday,5:33 PM,355,Junior Broadway Duo/Trio,We Share Everything,K & Co. Dance Studio
Friday,5:36 PM,356,Junior Broadway Large Group,Troop Beverly Hills,Premier Dance
Friday,5:39 PM,357,Junior Broadway Large Group,C'mon Everybody,DANCE est Joie
Friday,5:42 PM,358,Junior Hip Hop Large Group,Special Delivery,High Pointe Performing Arts Studio
Friday,5:44 PM,359,Junior Specialty Line,Ciao Bella,River Valley Classical Ballet And Acrobatics
Friday,5:49 PM,360,Junior Specialty Line,Greedy,DV8 Dance Complex - DV8 The Company
Friday,5:52 PM,361,Junior Jazz Duo/Trio,Think,High Pointe Performing Arts Studio
Friday,5:55 PM,362,Junior Jazz Duo/Trio,Hit Me With a Hot Note,High Pointe Performing Arts Studio
Friday,5:57 PM,363,Junior Lyrical Duo/Trio,Gravity,High Pointe Performing Arts Studio
Friday,6:00 PM,364,Junior Open Duo/Trio,The Hollow Sound,High Pointe Performing Arts Studio
Friday,6:02 PM,365,Junior Lyrical Duo/Trio,I'm in Here,High Pointe Performing Arts Studio
Friday,6:05 PM,366,Junior Open Duo/Trio,Groove Thing,High Pointe Performing Arts Studio
Friday,6:07 PM,367,Junior Open Large Group,Vogue,Premier Dance
Friday,6:10 PM,368,Senior Jazz Solo,Fever,High Pointe Performing Arts Studio
Friday,6:12 PM,369,Senior Jazz Solo,Dangerous,Premier Dance
Friday,6:15 PM,370,Senior Jazz Solo,Feeling Good,K & Co. Dance Studio
Friday,6:19 PM,371,Senior Jazz Solo,TBD Bryndal,Elite Dance of Tulsa
Friday,6:21 PM,372,Senior Contemporary Solo,Blame,Premier Dance
Friday,6:24 PM,373,Senior Broadway Solo,Li'l Lamb,DANCE est Joie
Friday,6:26 PM,374,Senior Contemporary Solo,The World We Knew,DANCE est Joie
Friday,6:29 PM,375,Senior Open Solo,Wriggle,Elite Dance of Tulsa
Friday,6:32 PM,376,Senior Contemporary Solo,Liar,DV8 Dance Complex - DV8 The Company
Friday,6:34 PM,377,Junior Hip Hop Large Group,Shake,High Pointe Performing Arts Studio
Friday,6:37 PM,378,Junior Lyrical Large Group,Snow Angels,Premier Dance
Friday,6:40 PM,379,Senior Open Solo,Game On,DV8 Dance Complex - DV8 The Company
Friday,6:43 PM,380,Senior Open Solo,I Care,Premier Dance
Friday,6:45 PM,381,Senior Open Solo,Landcaster Court,Elite Dance of Tulsa
Friday,7:10 PM,382,Senior Contemporary Solo,SCRATCH,Premier Dance
Friday,7:12 PM,383,Senior Contemporary Solo,Need Me,Radiant Dance Studio
Friday,7:15 PM,384,Senior Contemporary Solo,No Hard Feelings,Premier Dance
Friday,7:18 PM,385,Senior Jazz Solo,Is It A Crime,DANCE est Joie
Friday,7:20 PM,386,Senior Contemporary Solo,Ephemera,Radiant Dance Studio
Friday,7:23 PM,387,Senior Contemporary Solo,Before Our Very Eyes,Elite Dance of Tulsa
Friday,7:26 PM,388,Senior Jazz Duo/Trio,Kill The Lights,High Pointe Performing Arts Studio
Friday,7:29 PM,389,Senior Contemporary Duo/Trio,Precious Things,DANCE est Joie
Friday,7:32 PM,390,Senior Contemporary Solo,Savage,Elite Dance of Tulsa
Friday,7:34 PM,391,Senior Contemporary Solo,Outside,Premier Dance
Friday,7:37 PM,392,Senior Contemporary Solo,Half,High Pointe Performing Arts Studio
Friday,7:40 PM,393,Senior Contemporary Solo,Esotro,Radiant Dance Studio
Friday,7:42 PM,394,Senior Contemporary Solo,Hope,Radiant Dance Studio
Friday,7:45 PM,395,Senior Contemporary Solo,SCRATCH,Elite Dance of Tulsa
Friday,7:48 PM,396,Senior Contemporary Solo,Snowing,DANCE est Joie
Friday,7:51 PM,397,Senior Contemporary Solo,Daughter of Love Light,Elite Dance of Tulsa
Friday,7:53 PM,398,Senior Contemporary Solo,Destinations,DANCE est Joie
Friday,7:57 PM,399,Senior Jazz Duo/Trio,Tango de Roxanne,DANCE est Joie
Friday,8:00 PM,400,Senior Contemporary Duo/Trio,Against The Music,Premier Dance
Friday,8:02 PM,400A,Senior Contemporary Solo,Hope There's Someone,Elite Dance of Tulsa
Friday,8:05 PM,401,Senior Contemporary Solo,Soon We'll Wake Up,Radiant Dance Studio
Friday,8:08 PM,402,Senior Contemporary Solo,The Other Side,DV8 Dance Complex - DV8 The Company
Friday,8:11 PM,403,Senior Contemporary Solo,SCRATCH,Premier Dance
Friday,8:13 PM,404,Senior Contemporary Solo,Finding A Way Out,Elite Dance of Tulsa
Friday,8:16 PM,405,Senior Contemporary Solo,Million Reasons,Radiant Dance Studio
Friday,8:19 PM,405A,Senior Lyrical Solo,Gravity,Elite Dance of Tulsa
Friday,8:21 PM,406,Senior Tap Solo,You Belong With Me,High Pointe Performing Arts Studio
Friday,8:23 PM,407,Senior Tap Solo,Ain't It Fun,High Pointe Performing Arts Studio
Friday,8:26 PM,408,Senior Contemporary Solo,Fade Into You,Thriller Dance Studio
Friday,8:28 PM,409,Senior Contemporary Solo,A Poem about Death,Radiant Dance Studio
Friday,8:30 PM,410,Senior Contemporary Solo,Liars Like You,Elite Dance of Tulsa
Friday,8:33 PM,411,Senior Contemporary Solo,Drowning In Your Sadness,Elite Dance of Tulsa
Friday,8:35 PM,412,Senior Contemporary Solo,Gasp,Premier Dance
Friday,8:38 PM,413,Senior Contemporary Solo,Doomed,Jody Phillips Dance Company
Friday,8:41 PM,414,Senior Contemporary Solo,Do U Know Me,Elite Dance of Tulsa
Friday,8:44 PM,415,Senior Contemporary Solo,Dynamite,High Pointe Performing Arts Studio
Friday,8:47 PM,416,Senior Contemporary Duo/Trio,A Memory,Elite Dance of Tulsa
Friday,8:49 PM,417,Senior Contemporary Duo/Trio,Rescue,Radiant Dance Studio
Friday,8:52 PM,418,Senior Contemporary Duo/Trio,Eternal Love,DANCE est Joie
Friday,8:55 PM,419,Senior Contemporary Duo/Trio,Maybe If You Say It Again,Elite Dance of Tulsa
Friday,8:58 PM,420,Senior Lyrical Solo,Song To The Siren,Elite Dance of Tulsa
Friday,9:01 PM,421,Senior Lyrical Solo,All Through the Night,Premier Dance
Friday,9:03 PM,422,Senior Lyrical Solo,Space and Time,DANCE est Joie
Friday,9:06 PM,423,Senior Lyrical Solo,I Wonder If You're Happy,Radiant Dance Studio
Friday,9:09 PM,424,Senior Lyrical Solo,Landslide,DANCE est Joie
Friday,9:12 PM,425,Senior Lyrical Solo,All Again,High Pointe Performing Arts Studio
Friday,9:14 PM,426,Senior Lyrical Solo,Ode to a Love Lost,Premier Dance
Friday,9:17 PM,427,Senior Tap Duo/Trio,Symphony,High Pointe Performing Arts Studio
Friday,9:19 PM,428,Senior Lyrical Solo,Winner Takes It All,Thriller Dance Studio
Friday,9:22 PM,429,Senior Lyrical Solo,To Be Loved,Elite Dance of Tulsa
Friday,9:24 PM,430,Senior Lyrical Solo,Goodbye Yellow Brick Road,Premier Dance
Friday,9:27 PM,431,Senior Lyrical Solo,Death Wish,Premier Dance
Friday,9:29 PM,432,Senior Lyrical Solo,Oceans,River Valley Classical Ballet And Acrobatics
Friday,9:32 PM,433,Senior Lyrical Solo,I'll Get By,Elite Dance of Tulsa
Friday,9:34 PM,434,Senior Lyrical Solo,Hero,Premier Dance
Friday,9:37 PM,435,Senior Lyrical Solo,Always Remember Us This Way,Premier Dance
Friday,9:40 PM,436,Senior Lyrical Solo,Sweetest Devotion,Elite Dance of Tulsa
Friday,9:42 PM,437,Senior Acro Solo,Time Traveler,River Valley Classical Ballet And Acrobatics
Friday,9:45 PM,438,Senior Specialty Solo,Hemolele,River Valley Classical Ballet And Acrobatics
Friday,9:47 PM,439,Senior Contemporary Duo/Trio,Twice,High Pointe Performing Arts Studio
Saturday,2:30 PM,440,Teen Open Production,Untamed,Premier Dance
Saturday,2:36 PM,441,Teen Tap Large Group,Splish Splash,High Pointe Performing Arts Studio
Saturday,2:39 PM,442,Junior Open Small Group,Under Control,Elite Dance of Tulsa
Saturday,2:42 PM,443,Teen Lyrical Production,Rollin in the Deep,Radiant Dance Studio
Saturday,2:49 PM,444,Junior Jazz Small Group,Do Your Thing,Premier Dance
Saturday,2:52 PM,445,Teen Jazz Small Group,AM to PM,High Pointe Performing Arts Studio
Saturday,2:55 PM,446,Junior Contemporary Small Group,Shout,Premier Dance
Saturday,2:57 PM,447,Teen Jazz Large Group,Zoo Girls,DV8 Dance Complex - DV8 The Company
Saturday,3:01 PM,448,Teen Open Large Group,Canned Heat,Premier Dance
Saturday,3:03 PM,449,Teen Contemporary Small Group,I Shall Be Fee,High Pointe Performing Arts Studio
Saturday,3:06 PM,450,Teen Open Large Group,Quake,Premier Dance
Saturday,3:09 PM,451,Teen Contemporary Small Group,Maybe This Time,Radiant Dance Studio
Saturday,3:12 PM,452,Teen Contemporary Small Group,Everywhere,Elite Dance of Tulsa
Saturday,3:15 PM,453,Junior Open Small Group,One,High Pointe Performing Arts Studio
Saturday,3:18 PM,454,Teen Open Large Group,Samba,Premier Dance
